FirmTicker,EngFirmTicker
پارتا,ARTA
وآردل,KARA
دلقما,DLGM
پلوله,GAZP
وتوصا,TOSA
خكرمان,KKHP
سپيدار,SSYZ
غناب,RNAB
بهپاك,BEPP
سهرمز,SHZG
تيپيكو,DTIP
ما,BVMA
بزاگرس,ZKPZ
شمواد,MAVA
فروي,IZSZ
شجي,NJEY
بفارس,FRSP
نمرينو,MRIN
وآوين,VAVP
حرهشا,RAHP
ومدير,VMDR
قنقش,NJSP
ثجوان,SJVP
قشرين,GSHI
لبوتان,BOTA
كگهر,GZIZ
تكمبا,COMB
فجام,JAMD
بصبا,BSBZ
ستران,STEH
سفاروم,UWCS
ثفارس,OFRS
شسينا,SHSI
غگرجي,GORJ
شتهران,THSP
ولشرق,ISLZ
حركيب,TFSP
غصينو,MINP
وايران,LIRZ
پارسا,PRAP
شستان,STNP
غشان,SPKH
فسا,PFSP
خوساز,MESI
فبيرا,BIRI
شپلي,PLAK
ولقمان,LOIP
كحافظ,KHFZ
ساوه,SACZ
جم,PJMZ
سبهان,SBHN
كلوند,ALVN
پيزد,YZTZ
خزر,FNAR
ثنوسا,NSTH
وپارس,BPAR
انرژي1,BE1P
دجابر,DJBR
رفاه,REFP
زپارس,ZPRS
ميدكو,MDKO
واتي,ATDM
دشيمي,DDPK
غشهداب,SHHZ
بجهرم,JPPZ
قستون,GBIS
شراز,PRZZ
غپونه,NPMP
خچرخش,CHAR
سمازن,SMAZ
رنيك,GEMZ
ونفت,NAFT
غپاك,LPAK
شتران,PTRZ
شاروم,URPZ
ثنوين,SNVP
حذف -آرين,ARNZ
قنقش,GNJN
قاسم,GASZ
بركت,BRKT
ولتجار,GSIP
دتماد,TMVD
شسيماب,SIRS
فاما,SAMA
سفاسي,SFSP
ساربيل,SADB
غديس,PKDZ
شوينده,SHOY
ثغدير,SGDZ
غاذر,PIAZ
شپاس,NPSZ
وساغربي,OS02
اردستان,ARDS
شبندر,PNBA
ومشان,IFMP
فتربت,FTRP
حفارس,HFRS
فملي,MSMI
كيا,KLSS
فماك,MSCS
قتربت,TSUP
تاتمس,ATMP
سپاها,SSEP
كگل,GOLG
پيزد,YAZP
شيران,SSIN
سرچشمه,SARZ
قشكر,SHKR
كدما,DMVN
تپمپس,POMP
سايرا,IRNT
تكنو,TKNO
فسديد,LSDD
قشرين,SSUP
سرچشمه,SARP
اعتلا,ETLZ
لمخابر,SMRI
پيزد,LYZD
زفجر,FAHZ
وسزنجان,OS13
شفا,SHFA
سنوين,IENP
خبنيان,BDZP
بنو,TNIP
وصندوق,SAND
حتايد,TAYD
انرژي2,BE2P
سيدكو,CIDC
فسبزوار,FSBZ
وسكرد,OS19
كبورس,KBRS
كايگچ,IRGC
توريل,TORZ
وساپا,SSAP
قشهد,GHND
آبادا,NBAB
غويتا,VITZ
خديزل,DZLZ
سامان,BSAP
پشاهن,SHIN
رتكو,TKIN
لپيام,PYAM
سيمرغ,SMGP
تپسي,TASZ
شپمچا,PPAM
كرماشا,PKER
فاذر,AZAB
شتوكا,TPSZ
شيراز,PSHZ
ثمسكن,MSKN
تات,BTAP
آرمان,ARMP
شلعاب,LEAB
انرژي3,BE3P
خكاشا,KSKZ
خمحركه,NMOH
نيرو,NIRP
وطوبي,TOIZ
قرن,GARN
اتكاي,ETKZ
بمپنا,BMAZ
نوري,NURZ
ومسكن,MASP
كيمياتك,KTEK
خديزل,DZLP
شرنگي,SHEP
وثخوز,CKHP
نوين,BNOP
دروز,ROZD
ثشرق,PMSZ
قصفها,GESF
رانفور,INFO
وكغدير,TMGD
شدوص,DODE
ثاژن,SJAP
خفرمان,FAKZ
فولاژ,FAIR
فرآور,FRVR
وسقزوين,OS17
وكوثر,KOSZ
رتاپ,EPRS
هفردا,RAFS
چخزر,CAWZ
سفار,SFRS
سهگمت,SHGN
فجر,FAJR
وشهر,BSHP
فبستم,FBSP
بساما,BSMZ
وسديد,SDIP
تليسه,TLIZ
وملي,GMEL
پتاير,TAIR
سخوز,KHOC
كورز,VARP
خاذين,AZIN
تماوند,DIBP
خپارس,PKOD
غبشهر,SBEH
غناب,RNAP
غشهداب,SHHP
مفاخر,KARZ
زكوثر,KOSR
قيستو,BSOP
كشرق,KSGZ
كصدف,KSDP
چنوپا,NEOP
فسلير,SOLP
تپمپي,PIRN
كبافق,BAFG
وسبحان,SOBZ
وسرمد,SRMP
قمرو,GMRO
هاي وب,HWEB
دحاوي,DHVP
كوير,KVIR
خراسان,KRSN
دسبحا,DSOB
لخانه,LKPS
غزر,ZARM
فزرين,KZIZ
شفارس,SHFS
دلر,EXIR
وگستر,IRNZ
ودي,BMDZ
شرانل,NOLZ
پشاهن,SHIP
شگل,GTSH
كالا,KLAP
فاهواز,FAHP
شپمچا,PPAP
وسبوشهر,OS06
كالا,KALA
فمتال,PMET
ستبرا,SEMS
حآسا,ASAZ
گكيش,TRKP
سخاش,SKHS
سنندج,SNJP
ساروج,SRJP
دي,BDYZ
آكنتور,CONT
فروسيل,FERZ
غچين,CHCH
خساپا,SIPA
قثابت,GSBE
وثنو,SNOP
وسينا,VSIN
تفيرو,FROP
ثنظام,NZMP
زماهان,MACZ
بجهرم,JHRM
ولساپا,RSAP
سفانو,SFNO
كيانا,KYAN
صبا,STIZ
بخاور,MLIP
غسنيم,TSNP
وكاسپي,CPCP
فجهان,SJSZ
غپآذر,GHPZ
سپيد,SPID
كايتا,ITLP
ساراب,SDAB
لكما,KMOP
چكارم,KMSH
خرينگ,RINM
وآفر,AFRP
كسرا,ARDK
بفجر,BFJR
فولاد,FOLD
سمگا,IMFZ
بترانس,TRNS
اتكام,TKMZ
شوش,VASH
وسهرمز,OS28
وآيند,AYNP
سفارود,SFAP
كنيلو,NLTP
وصنا,GBEH
وتوكا,TOKA
ونوين,NOVN
فخاس,FKAS
وخاور,BKHZ
دسانكو,DSNZ
وسخراش,OS11
بسويچ,SWIC
قپارس,GPRS
خپويش,SZPO
تراك,MOZP
ثتوسا,CTSP
سيستم,SYSM
حگهر,GTTZ
واعتبار,IDOC
بيوتيك,IAMZ
وكار,KRAF
وبانك,BANK
پكوير,KVRZ
ولپارس,LPRS
بمولد,FTJZ
ولبهمن,BHLZ
وتوسكا,TDIP
زرنام,ZRNM
